"Persona Name","Role Definition","Example Roles","ID"
"Architect","Defines target architecture and guardrails so solutions scale, interoperate, and meet Non Functional Requirements.","Enterprise Architect; Solution Architect; Data Architect; Security Architect; Integration Architect; Cloud/Platform Architect","2"
"Business Operations, Delivery & Enablement","Orchestrates portfolio/planning, finance/procurement, change and comms to execute strategy.","PMO/Portfolio Manager; Business Operations Manager; FinOps/FP&A Analyst; Procurement/Vendor Manager; Change Manager; Internal Comms Lead; Technical Writer/DocOps; Partner/Alliances Manager","3"
"Customer Success & Services","Drives onboarding, implementations, adoption, and measurable outcomes across the customer lifecycle.","Customer Success Manager; Technical Account Manager; Implementation/PS Consultant; Solutions/Success Architect; Onboarding Specialist; Customer Education Lead","4"
"Data and Analytics","Turns data into trustworthy insights, dashboards, and experiments for decision-making.","Data Analyst; BI Developer; Analytics Engineer; Data Engineer; Data Scientist; Statistician/Experimentation; Data Viz Engineer; Data Product Manager; Data Steward","5"
"Help Desk Support and Incident Response","Restores service fast via triage, resolution, communication, and post-incident learning.","Service Desk Analyst (T1–T3); Major Incident Manager; Incident Commander; Problem Manager; Knowledge Manager; NOC Analyst; ITSM Process Owner (Incident/Problem/Change)","6"
"Learning & Development","Designs and delivers training, curricula, and certifications to upskill employees and customers.","L&D Business Partner; Instructional Designer; Curriculum Developer; Trainer/Facilitator; LMS Administrator; Certification Program Manager","7"
"Privacy, Regulatory & Compliance","Interprets regulations, sets controls, and verifies compliance and data/model risk.","Data Protection; Privacy Engineer; Compliance Manager (SOX/PCI/HIPAA); GRC Analyst; Model Risk Manager (AI); Third-Party Risk Manager; Legal Counsel (Contracts/IP)","8"
"Product Management & Business Analysis","Discovers problems, defines value, prioritizes roadmaps, and specifies requirements.","Product Manager; Group/Portfolio PM; Product Owner; Business Analyst; Product Operations (ProdOps) Manager; UX Writer/Content Designer","9"
"Project & Program Manager","Plans and governs delivery across scope, schedule, budget, risk, and change.","Program Manager; Project Manager; Scrum Master; Agile Coach; Release Train Engineer (SAFe); Project Controller/Analyst","10"
"Quality Assurance & Test & Systems Administration","Ensures software quality and operates secure, reliable environments.","SDET/Test Automation Engineer; QA Analyst; Performance/Load Tester; Security/Adversarial Tester; Accessibility Tester; Systems Administrator (Windows/Linux); Endpoint/Workplace Admin; Configuration/Release Manager","11"
"Security & Risk","Protects assets by managing threats, vulnerabilities, governance risk, and resilience.","Security Architect; Application Security Engineer; Cloud/IAM Engineer; SOC Analyst; Threat Detection/Blue Team; Red Team/Pen Tester; GRC/Policy Lead; Business Continuity & DR Manager","12"
"Software Engineering & UI/UX","Designs and builds usable, accessible software and experiences end-to-end.","Backend Engineer; Frontend Engineer; Full-stack Engineer; Mobile Engineer; Platform/DevEx Engineer; DevOps/SRE; Build/Release Engineer; ML Engineer/MLOps; Prompt/GenAI Engineer; Model Evaluator; UX Designer; UX Researcher; DesignOps; Accessibility Specialist","13"
