"BusinessUnit","UseCase","Headlines","Opportunity","Evidence","BusinessValue","AITheme","PrimaryContact","TargetPersonas","Phase","Status","VendorName","ModelName","InformationLink","Created","Created By","Priority","TeamName","SubTeamName","ID","Modified","Modified By","AI Product Checklist","ESE Resources Needed","RespondedBy"
"","Ready Integration Testing Assistant","The Integration Consultant's Guide for UKG Ready Integration Testing","- Allow an IC to upload a workbook and output file. Compare the requirements with the results and share feedback. This is a proactive measure.
- Allow an IC to upload testing feedback from a carrier, which often comes in via email or a file (pdf, excel), and the test file that was sent. This is a reactive measure to help the IC move forward on a project.
- Based on the context shared above and an agent's knowledge of the Ready product and the context for the carrier, share the recommended next steps. The agent should be able to identify what is commonly a data issue vs. configuration issue vs. integration logic issue and try to guide the user in the right direction.","While testing integrations between UKG and third parties, there is often a lot of back-and-forth in the workflow:

- Send a test file
- Carrier reviews and shares feedback
- UKG reviews feedback, which could be related to data, configuration, and/or integration logic. Feedback is shared with the appropriate party to resolve, or internally resolved.
- Return to the start of this loop.

This can take many weeks or months for one project. Some carriers take weeks to reply, even if it turns out to be a small issue like an incorrect value in a header record, and the file could not be loaded. Clearly this can severely delay a project timeline.

We would save a lot of time with tools that support ICs during testing","This could reduce the timeline on integration projects by a number of weeks in many cases. Testing EDI is the most sensitive part of a project, as any small mistakes or key items missed during internal testing can lead to an extended timeline for customer/external testing (2+ weeks). A tool that can proactively test a file and align it with the requirements would add immense value to our ICs. The reactive testing would also help ICs digest feedback throughout testing, which will save at least an hour of testing time per project.

This idea can be used across all platforms, but it is important for an agent like this to have a degree of product knowledge catered to a given product, and understand carrier context to be successful.","Intelligent Document Processing,Information Retrieval,Document Summarization,Conversational AI","Spencer Williams","Customer Success & Services","Idea","Not Started","No Vendor Identified","No Product Identified","","12/16/2025 4:49 PM","Spencer Williams","Not a Priority","CX","","507","12/16/2025 4:49 PM","svcSharepointOnlinePS","False","True","Owner"
"","Ready Integration Assessment Assistant","The Integration Consultant's Guide for UKG Ready Integration Assessments","Integration Consultants will upload all details shared by customers & vendors during Integration Discovery. An AI agent should be instructed on the context including UKG Ready platform knowledge, internal tools like Integration Gateway & Jira, and Carrier knowledge. The agent will guide consultants through their assessment in a prescriptive way:

- IC uploads documents
- Agent assesses the details and identifies which integrations are needed
- Agent recommends key questions for the IC to ask on each integration
- IC shares the answers to each question, per integration
- Agent generates a requirements document based on these details, for each integration","We have many integration tech stacks across UKG Ready, with hundreds+ of varying endpoints to send/receive data to/from. This creates many decision points from the start of Integration Discovery in implementation. We can use gen AI to support our consultants with these decisions, reducing the need to comb through requirements documents and simplifying this using context from our integration standards and thousands of prior projects in Jira. We spend a lot of time repeating tasks like creating workbooks for every integration in our current state.","Save 2+ hours per integration assessment when a custom EDI is needed (no BenefitLink template available). Ready has built ~ 4500 of these in 2025, i.e. 9000 hours saved if we can reduce assesment time by 2 hours per integration.","Information Retrieval,Intelligent Document Processing,Document Summarization","Spencer Williams","Customer Success & Services","Idea","Not Started","No Vendor Identified","No Vendor Identified","","12/16/2025 4:25 PM","Spencer Williams","Not a Priority","CX","","506","12/16/2025 4:25 PM","svcSharepointOnlinePS","False","True","Owner"
"","Query Salesforce contracts","Easily answer questions from Customer contracts","Evaluating customer contracts to see if we’ve agreed to free reports (or other use cases).","It’s often hard to know what has been promised to customers because filenames in Salesforce are unclear on which file to look in and some of them are dozens of pages long. Even a new customer can also have dozens of files to look through.","Save time for UKG and customers. Having AI point us to the right contract to confirm our contractual obligations lets us process Service Requests much more quickly. Example: https://teams.microsoft.com/l/message/19:Yb8XD94DHDRL7WllJMm4v-PCVllqdFz4u_QvTBwMlKA1@thread.tacv2/1765838159498?tenantId=7b6f35d2-1f98-4e5e-82eb-e78f6ea5a1de&groupId=9f744a3e-2f8a-4122-8262-71b1e35611f0&parentMessageId=1765838159498&teamName=AI%20Social%20Community&channelName=%F0%9F%A4%96%20AI%20Social&createdTime=1765838159498 ","Information Retrieval,Intelligent Document Processing","Angela Frantz","Architect,Business Operations, Delivery & Enablement,Customer Success & Services,Implementation Managers,Product Management & Business Analysis,Project & Program Manager,Sales / Marketing Agents,U Krewer","Design","On-Track","Open AI","ChatGPT","","12/16/2025 8:59 AM","Angela Frantz","Not a Priority","CX","","505","12/16/2025 12:56 PM","Jon Harper","False","False","Champion"
"","Automated Monitoring & Reporting of D365 Integration Data Management Batch Jobs","AI-driven automation to monitor D365 Data Management batch jobs and send daily email reports with job status, failures, resolutions, and key execution details—eliminating manual checks and improving integration reliability.","Currently, monitoring integration batch jobs in D365 is a manual, time-consuming, error-prone process. Each day, teams must:
Navigate to D365 Data Management job history, Review all Oracle → D365 sales order integrations (PSA, NA, ADP, etc.), Review Salesforce → D365 customer integrations, Identify failures or partial successes, Troubleshoot errors and document resolutions, Compile and send a status email to multiple stakeholders

This activity can consume significant analyst time and may lead to delayed detection, missed failures, or inconsistent reporting.

There is a strong opportunity to leverage an AI agent to automatically extract job status, failures messages, and email stakeholders daily creating a consistent, scalable, and real-time monitoring mechanism so that IT can look into email and action on errored jobs.","Daily manual checks are required to validate whether hundreds of batch jobs have succeeded or failed.

Integration failures have downstream business impact—delayed sales order creation, customer master issues, or operational bottlenecks.

Current manual reporting is highly dependent on individual team members and lacks standardization.

AI agents in D365 can automatically read Data Management job history logs, detect job state changes, and trigger communication workflows.","1. Operational Efficiency - Eliminates manual daily review of batch jobs.
Saves analyst time (estimated 1–2 hours/day), enabling reallocation to higher-value tasks.

2. Improved Integration Reliability - Ensures failures are detected immediately rather than waiting for manual review.
Reduces delays in order processing and customer onboarding.

3. Standardized & Accurate Reporting - Automated email reports ensure consistent communication across business units.
Includes job name, status (success/failure), company code, execution time, and a direct URL for error investigation.

4. Faster Resolution of Integration Issues - AI-generated summaries can include probable root cause or known remedies.
Reduces time to triage integration failures.

5. Scalability - Works for existing integrations (Oracle, Salesforce) and any future integration batches without additional manual effort.

6. Reduced Risk & Higher Data Quality - Minimizes business disruption caused by missed or delayed failure detection.
Ensures accurate and timely sales order and customer master data availability in D365.","Data Extraction,Information Retrieval","Dinkar Upadhyay","Business Operations, Delivery & Enablement","Idea","On-Track","Microsoft","","","12/15/2025 8:20 AM","Bobby Nimesh","Not a Priority","Enterprise Solutions and Experience","GBO Solutions","504","12/16/2025 9:45 AM","Frances Hopple","False","True","Champion"
"","IICS Code Review Bot","Transforming Code Review with Copilot-driven intelligence","AI-Assisted Code Review Bot that accepts IICS JSON/XMLcode exports as input and automatically evaluates them against predefined and AI-generated best practices. 
Reduces dependency on reviewer and improves speed, consistency, and accuracy.
","In Informatica IICS, integrations are built using multiple components These components often follow different naming conventions, design patterns, and code standards, depending on the developer or project. As a result:
1. Code consistency across integrations is difficult to maintain.
2. Manual code reviews are time-consuming, taking 2 - 3 hours per integration depending on complexity.
3. Review quality varies by reviewer expertise. 
As the volume and complexity of integrations grow, manual review becomes a bottleneck and increases operational risk.
","The result is a 100% automated code review pipeline that ensures compliance, accelerates delivery, and reduces manual engineering effort.","Intelligent Document Processing,Predictive Modeling / Recommender,Data Extraction,Document Summarization","Ishani Shah","U Krewer","Idea","Not Started","Open AI","ChatGPT","","12/15/2025 2:01 AM","Ishani Shah","Not a Priority","Enterprise Solutions and Experience","GBO Solutions","503","12/15/2025 2:02 AM","svcSharepointOnlinePS","False","True","Owner"
"","Automated Executive Lookbook Generation & Intelligence Pipeline","Autonomous generation of Facebooks for Executives to be Prepared for Conferences and Meetings","Automated Data Normalization & Unification:
AI consolidates attendee lists, CRM exports, customer datasets, and ZoomInfo files into a single, verified master table using deterministic matching rules, fuzzy logic, and hierarchical precedence.

Autonomous Public-Source Research:
AI verifies executive identities through controlled public searches and authoritative domains, removing guesswork and ensuring factual accuracy.

Content Enrichment & Intelligence Generation:
AI creates short-form factual summaries, professional insights, company context, and actionable talking points—formatted and standardized for executive consumption.

Scalable Dataset Processing:
AI runs end-to-end with no user interaction, processing hundreds or thousands of records while maintaining traceability through metadata logs.","Fragmented Data Sources:
UKG’s attendee, CRM, and third-party datasets use inconsistent formats and naming conventions, resulting in unreliable matching and manual cleanup.

High Manual Research Costs:
Analysts and account teams routinely spend hours building executive briefings, searching for bios, validating titles, confirming identities, and assembling talking points.

Inconsistent Data Quality:
Variability in human research leads to inaccuracies, outdated content, missing insights, and non-standard outputs that reduce trust in customer intelligence.

Increasing Volume of Executive Interactions:
As UKG expands enterprise engagements, preparing for leadership conversations at scale becomes operationally impossible without automation.","Massive Productivity Gains:
Eliminates hours of manual research per meeting or event. Teams can produce briefing decks in minutes instead of days.

Higher Data Accuracy & Trust:
Deterministic matching, identity verification, source-tiering, and metadata logs ensure the intelligence is reliable and auditable.

Improved Executive Preparedness:
UKG leadership receives concise, high-quality summaries and insights that strengthen customer conversations and improve strategic alignment.

Stronger Revenue Outcomes:
Better preparation → stronger engagements → higher win rates, improved renewals, and deeper account penetration.

Unified Customer Intelligence Layer:
Creates a consistent, structured executive dataset that can be fed into CRM systems, dashboards, or downstream AI tools.

Scalable, Repeatable Process:
Works for events, QBR cycles, large accounts, M&A due diligence, and territory planning—without requiring additional staff.","Data Extraction,Document Summarization","Mike Addeo","People Leaders","Idea","Not Started","Microsoft","Custom Copilot Agent","","12/12/2025 5:20 PM","Mike Addeo","Not a Priority","Enterprise Solutions and Experience","","502","12/12/2025 5:20 PM","svcSharepointOnlinePS","True","False","Owner"
"","CMI Market Map Agent Creation","CMI Market Map Agent Creation","In lieu of creating a Power BI Dashboard to highlight the competitive findings in the CMI Market Map excel file, we would like to surface the details of the report via an LLM. The refresh and update of the data will likely require integration with external APIs and internal Alliance partner data.","Currently, the completion of this project would require manual engagemnt with an additional interface for the data outside of the current CMI agent. The details in the Market Map are leveraged across multiple departments in the investigation of potential acquisition targets as well as surfacing opportunities for partnership and UKG product development.","Better and more coprehensive data. Reduction in man hours and meetings to provide manual updates to the data. The details in the Market Map are leveraged across multiple departments in the investigation of potential acquisition targets as well as surfacing opportunities for partnership and UKG product development.","Data Extraction,Information Retrieval,Predictive Modeling / Recommender,Natural Language Understanding (NLU),Conversational AI","Greg Pridgeon","Business Operations, Delivery & Enablement,Data and Analytics,Sales / Marketing Agents,Product Management & Business Analysis,People Leaders,Software Engineering & UI/UX,Architect","Idea","Not Started","No Vendor Identified","No Product Identified","","12/12/2025 10:31 AM","Greg Pridgeon","Not a Priority","Customer Value Advisory","","500","12/12/2025 10:32 AM","svcSharepointOnlinePS","False","False","Owner"
"","SOC Report reviewer","Turning lengthy vendor SOC reports into concise, actionable insights with AI.","Develop an AI powered solution that automates the review of vendor SOC reports to support financial reporting assurance. Today, auditors manually analyze 100 plus page SOC reports to confirm coverage periods, auditor details, complementary user entity controls, identified exceptions, and subservice organizations. This manual process is time consuming and increases the risk of oversight. GPT can review these reports in minutes and produce a structured, template ready summary, reducing effort and improving accuracy in third party assurance reviews.","Delivers consistent, template ready summaries that strengthen accuracy and efficiency in third party assurance work","Drives measurable productivity gains, saving an estimated 150 man hours per year through automation.
Enhances review quality by providing consistent, accurate extraction of key details from complex SOC reports.","Document Summarization","Akhil Jain","Business Operations, Delivery & Enablement","Idea","Rejected","No Vendor Identified","No Product Identified","","12/12/2025 10:14 AM","Akhil Jain","Not a Priority","Finance","Trust and Assurance","499","12/16/2025 10:04 AM","Tilak Jaiswal","False","False","Champion"
"","System Instruction Improver Using Hybrid Python","Converting system instructions to hybrid python and offloading instructions to referernce files uses dramatically less tokens (and speeds results)","I've created a GPT that takes plain worded system instructions and optimizes them by converting the logic into python with hybrid comments and reference files. This drastically reduces the tokens used per interaction and allows for much faster responses. The current model is GPT but it can be used with other LLM's as well.","Many of the prompts people are using are plain English and can get very complex taking up the entire 8000 character limit in system instructions. This GPT allows someone even if they don't know python to optimize their system instructions to allow a more effective prompt in many ways.","Save money by using less tokens and providing faster responses in the LLM.","Document Summarization,Data Extraction","Michael Herman","U Krewer,Software Engineering & UI/UX,Security & Risk,Sales / Marketing Agents,Quality Assurance & Test & Systems Administration,Project & Program Manager,Product Management & Business Analysis,Privacy, Regulatory & Compliance,People Leaders,Learning & Development,Implementation Managers,Help Desk Support and Incident Response,Data and Analytics,Customer Success & Services,Communicators,Business Operations, Delivery & Enablement,Architect","Idea","Not Started","Open AI","ChatGPT","https://chatgpt.com/g/g-69370de825f481919735acd59d4a3088-system-instruction-optimization-v1-3","12/11/2025 10:43 AM","Michael Herman","Not a Priority","People","","498","12/11/2025 10:44 AM","svcSharepointOnlinePS","False","False","Owner"
"","AI multi-model for summarizing, video and audio generation","We are using AI multi-model feature for summarizing and audio generation.","We are using AI multi-model feature for summarizing and audio generation.
It will cater our multiple needs like- 
1. Audio-Based Executive Summaries for Leaders
2. Audio Training Modules for New Joiners 
3. Product Release Notes as Audio Podcasts
4. Audio Walkthroughs for Process Changes
5. Audio-Based Employee Engagement Broadcasts
6. Compliance & Policy Updates as Audio Bulletins","1. Reduction in Time Spent Consuming Information
2. Improved Task Execution Rate
3. Increased Availability for Strategic Work
4. Faster Onboarding for New Joiners
5. Higher Cross-Functional Alignment
6. Reduction in Information Overload","1. Reduction in Time Spent Consuming Information
2. Improved Task Execution Rate
3. Increased Availability for Strategic Work
4. Faster Onboarding for New Joiners
5. Higher Cross-Functional Alignment
6. Reduction in Information Overload","Audio Generation,Audio/Video Generation,Data Extraction,Document Summarization,Information Retrieval,Knowledge Graphs & Reasoning,Intelligent Document Processing","Ashish Kumar","Business Operations, Delivery & Enablement,Communicators,Customer Success & Services,Data and Analytics,Implementation Managers,Learning & Development,People Leaders,Project & Program Manager,Product Management & Business Analysis,Sales / Marketing Agents","Idea","Completed","Microsoft","M365 Copilot","","12/11/2025 9:59 AM","Ashish Kumar","Not a Priority","CX","","497","12/12/2025 4:09 AM","Ashish Kumar","False","False","Owner"
