"UseCasesID","QuestionID","Response","Created"
"400","2","Yes","10/21/2025 8:49 AM"
"400","3","Salesforce,  UKG Data Warehouse, ","10/21/2025 8:49 AM"
"400","4","No","10/21/2025 8:49 AM"
"400","5","Yes","10/21/2025 8:49 AM"
"400","6","Yes","10/21/2025 8:49 AM"
"400","7",,"10/21/2025 8:49 AM"
"400","8",,"10/21/2025 8:49 AM"
"400","9",,"10/21/2025 8:49 AM"
"400","10",,"10/21/2025 8:49 AM"
"400","11",,"10/21/2025 8:49 AM"
"400","12",,"10/21/2025 8:49 AM"
"400","13",,"10/21/2025 8:49 AM"
"400","14",,"10/21/2025 8:49 AM"
"400","15"," APAC,  EMEA, ","10/21/2025 8:49 AM"
"400","16","No","10/21/2025 8:49 AM"
"400","17","Yes","10/21/2025 8:49 AM"
"400","18",,"10/21/2025 8:50 AM"
"400","19",,"10/21/2025 8:50 AM"
"400","20",,"10/21/2025 8:50 AM"
"400","21",,"10/21/2025 8:50 AM"
"400","22",,"10/21/2025 8:50 AM"
"403","2","Yes","10/28/2025 5:28 AM"
"403","3","Salesforce,  UKG Data Warehouse,  ServiecNow, ","10/28/2025 5:28 AM"
"403","4","No","10/28/2025 5:28 AM"
"403","5","Yes","10/28/2025 5:28 AM"
"403","6","Yes","10/28/2025 5:28 AM"
"403","7","Yes","10/28/2025 5:28 AM"
"403","8","Yes","10/28/2025 5:28 AM"
"403","9","Yes","10/28/2025 5:28 AM"
"403","10","Yes","10/28/2025 5:28 AM"
"403","11","Yes","10/28/2025 5:28 AM"
"403","12","No","10/28/2025 5:28 AM"
"403","13","Yes","10/28/2025 5:28 AM"
"403","14","Yes","10/28/2025 5:28 AM"
"403","15","AMER,  APAC, ","10/28/2025 5:28 AM"
"403","16","Yes","10/28/2025 5:28 AM"
"403","17","Yes","10/28/2025 5:28 AM"
"403","18","Yes","10/28/2025 5:28 AM"
"403","19","Yes","10/28/2025 5:28 AM"
"403","20","Public, Internal, ","10/28/2025 5:28 AM"
"403","21","No","10/28/2025 5:28 AM"
"403","22","Yes","10/28/2025 5:28 AM"
"433","2",,"11/7/2025 8:53 AM"
"433","3",,"11/7/2025 8:53 AM"
"433","4",,"11/7/2025 8:53 AM"
"433","5",,"11/7/2025 8:53 AM"
"433","6",,"11/7/2025 8:53 AM"
"433","7",,"11/7/2025 8:53 AM"
"433","8",,"11/7/2025 8:53 AM"
"433","9",,"11/7/2025 8:53 AM"
"433","10",,"11/7/2025 8:53 AM"
"433","11",,"11/7/2025 8:53 AM"
"433","12",,"11/7/2025 8:53 AM"
"433","13",,"11/7/2025 8:53 AM"
"433","14",,"11/7/2025 8:53 AM"
"433","15",,"11/7/2025 8:53 AM"
"433","16",,"11/7/2025 8:53 AM"
"433","17",,"11/7/2025 8:53 AM"
"433","18",,"11/7/2025 8:53 AM"
"433","19",,"11/7/2025 8:53 AM"
"433","20",,"11/7/2025 8:53 AM"
"433","21",,"11/7/2025 8:53 AM"
"433","22",,"11/7/2025 8:53 AM"
"434","2","Yes","11/7/2025 10:02 AM"
"434","3"," UKG Data Warehouse,  UKG Products Data,  ServiecNow,  Sharepoint, ","11/7/2025 10:02 AM"
"434","4","Yes","11/7/2025 10:02 AM"
"434","5","No","11/7/2025 10:02 AM"
"434","6","No","11/7/2025 10:02 AM"
"434","7","Yes","11/7/2025 10:02 AM"
"434","8",,"11/7/2025 10:02 AM"
"434","9",,"11/7/2025 10:02 AM"
"434","10",,"11/7/2025 10:02 AM"
"434","11",,"11/7/2025 10:03 AM"
"434","12",,"11/7/2025 10:03 AM"
"434","13",,"11/7/2025 10:03 AM"
"434","14",,"11/7/2025 10:03 AM"
"434","15"," ANZ,  EMEA, ","11/7/2025 10:03 AM"
"434","16",,"11/7/2025 10:03 AM"
"434","17",,"11/7/2025 10:03 AM"
"434","18",,"11/7/2025 10:03 AM"
"434","19",,"11/7/2025 10:03 AM"
"434","20","Internal, Confidential, ","11/7/2025 10:03 AM"
"434","21",,"11/7/2025 10:03 AM"
"434","22","Yes","11/7/2025 10:03 AM"
"438","2",,"11/11/2025 1:32 AM"
"438","3",,"11/11/2025 1:32 AM"
"438","4",,"11/11/2025 1:32 AM"
"438","5",,"11/11/2025 1:32 AM"
"438","6",,"11/11/2025 1:32 AM"
"438","7",,"11/11/2025 1:32 AM"
"438","8",,"11/11/2025 1:32 AM"
"438","9",,"11/11/2025 1:32 AM"
"438","10",,"11/11/2025 1:32 AM"
"438","11",,"11/11/2025 1:32 AM"
"438","12",,"11/11/2025 1:32 AM"
"438","13",,"11/11/2025 1:32 AM"
"438","14",,"11/11/2025 1:32 AM"
"438","15",,"11/11/2025 1:32 AM"
"438","16",,"11/11/2025 1:32 AM"
"438","17",,"11/11/2025 1:32 AM"
"438","18",,"11/11/2025 1:32 AM"
"438","19",,"11/11/2025 1:32 AM"
"438","20",,"11/11/2025 1:32 AM"
"438","21",,"11/11/2025 1:32 AM"
"438","22",,"11/11/2025 1:32 AM"
"439","22","Yes","11/12/2025 8:14 AM"
