"Theme Name","Theme Definition","Theme Example","ID"
"Audio Generation","Creating human-like speech, music, or sound effects using AI models, often from text or structured input.","Use text prompt to generate Audio","2"
"Audio/Video Generation","Creating human-like speech, music, or sound effects using AI models, often from text or structured input. Creating video content from input like text, images, or structured data using generative AI.","Use text prompt to generate Audio and Video","3"
"Causal Inference / Causal AI","Techniques that go beyond correlation to determine cause-effect relationships, used in decision-making and scientific analysis.","Marketing attribution, A/B testing insights, healthcare treatments","4"
"Computer Vision","Enabling machines to interpret, understand, and extract insights from visual data like images and video.","OCR, quality inspection, facial recognition, ID scanning","5"
"Conversational AI","AI systems designed to communicate with users in natural language through voice or text (e.g., chatbots, virtual agents). Conversational AI solutions often combine NLU + NLG + Sentiment Analysis + Document Summarization + Translation capabilities.","Virtual agents, help desk bots, IVR systems. Chatbots, voice assistants, form automation. ","6"
"Data Extraction","Automatically retrieving structured data from unstructured or semi-structured sources such as documents or webpages.","Jira data extraction, Web page summarization","18"
"Document Summarization","Automatically generating concise and coherent summaries from lengthy text documents.","Legal case briefs, financial reports, research articles","19"
"Explainable AI (XAI)",,,"20"
"Information Retrieval",,,"21"
"Intelligent Document Processing",,,"22"
"Knowledge Graphs & Reasoning",,,"23"
"Machine Teaching / AutoML",,,"24"
"Natural Language Generation (NLG)",,,"25"
"Natural Language Understanding (NLU)",,,"26"
"Predictive Modeling / Recommender",,,"27"
"Sentiment Analysis",,,"28"
