"Primary Success Metric Name","Baseline Value","Baseline Date","Target Value","Target Date","Metric Type","Unit of Measure","UseCases ID"
"Test","4","10/3/2025","2","10/7/2025","Productivity","HoursPerDay","358"
"Test Metrics","5","10/3/2025","3","10/7/2025","Productivity","HoursPerDay","352"
"Test","4","10/3/2025","5","10/4/2025","Productivity","HoursPerDay","356"
"metric1","12","10/4/2025","23","10/31/2025","Risk Mitigation","HoursPerYear","367"
"LS test Metric","10","10/3/2025","100","11/3/2025","Adoption","Users","369"
"Metric1","12","10/8/2025","23","10/17/2025","Risk Mitigation","HoursPerYear","372"
"test1","8","10/13/2025","4","10/20/2025","Productivity","HoursPerDay","386"
"Ribbon new metrics1","100","10/13/2025","200","10/21/2025","Productivity","HoursPerDay","378"
"test2","4","10/14/2025","2","10/21/2025","Productivity","HoursPerDay","356"
"Test","4","10/14/2025","5","10/21/2025","Productivity","HoursPerDay","352"
"LakshmiTest23","20","10/16/2025","50","10/30/2025","Adoption","HoursPerDay","389"
"AcMetric","12","10/18/2025","23","10/24/2025","Cost","HoursPerYear","392"
"asds","12","11/20/2025","23","11/20/2025","Productivity","HoursPerMonth","412"
"Approved4","66","11/6/2025","77","11/22/2025","Adoption","HoursPerMonth","410"
"44","66","11/12/2025","88","11/20/2025","Adoption","HoursPerDay","421"
"77","99","11/11/2025","66","11/27/2025","Adoption","HoursPerMonth","421"
"55","555","11/13/2025","575","11/30/2025","Cost","USDPerMonth","422"
"33","44","11/21/2025","77","1/15/2026","Adoption","USDPerYear","431"
"Primary Success Value","2","11/7/2025","2","11/13/2025","Productivity","HoursPerDay","430"
"sasa","100","11/7/2025","100","11/8/2025","Productivity","HoursPerYear","347"
"12","21","10/28/2025","121","11/20/2025","Risk Mitigation","HoursPerTransaction","333"
"CTR","2","11/11/2025","4","11/18/2025","Adoption","Users","334"
"test","1","11/12/2025","1","11/26/2025","Risk Mitigation","USD","434"
"123","23","11/15/2025","34","11/30/2025","Sustain","HoursPerCase","447"
"Test Uc123","12","11/19/2025","23","11/29/2025","Sustain","USD",
"test","2","11/20/2025","3","11/24/2025","Productivity","HoursPerDay","400"
"AcTest9 Metric","12","11/24/2025","23","11/25/2025","Cost","USD","463"
"567","576","11/18/2025","555","11/27/2025","Productivity","HoursPerYear","467"
"666","669","11/23/2025","777","11/26/2025","Adoption","HoursPerYear","423"
"testvalue","60","11/10/2025","70","11/26/2025","Adoption","HoursPerMonth","147"
"Metric for Demo","4","11/25/2025","2","11/27/2025","Productivity","HoursPerDay","162"
"Primary Success Value","4","11/26/2025","3","11/28/2025","Productivity","HoursPerDay","452"
