"Reported Value","Reported Date","UseCases ID","Metric ID","Created","Modified"
"3","10/3/2025","358","1","10/3/2025 3:43 AM","10/3/2025 3:43 AM"
"2","10/3/2025","352","2","10/3/2025 3:47 AM","10/3/2025 3:47 AM"
"2","10/3/2025","358","1","10/3/2025 3:56 AM","10/3/2025 3:56 AM"
"1","10/3/2025","358","1","10/3/2025 3:57 AM","10/3/2025 3:57 AM"
"34","10/6/2025","372","6","10/6/2025 1:22 AM","10/6/2025 1:22 AM"
"6","10/18/2025","378","8","10/13/2025 11:26 AM","10/14/2025 9:39 AM"
"10","10/14/2025","378","8","10/14/2025 9:40 AM","10/14/2025 9:40 AM"
"35","10/16/2025","389","11","10/16/2025 1:31 PM","10/16/2025 1:33 PM"
"30","10/16/2025","389","11","10/16/2025 1:32 PM","10/16/2025 1:32 PM"
"50","10/17/2025","389","11","10/16/2025 1:32 PM","10/16/2025 1:32 PM"
"23","10/17/2025","392","12","10/17/2025 7:28 AM","10/17/2025 7:28 AM"
"1","11/8/2025","430","19","11/7/2025 7:20 AM","11/7/2025 7:20 AM"
"1.5","11/11/2025","434","23","11/11/2025 1:43 AM","11/11/2025 1:43 AM"
"21","11/14/2025","447","24","11/14/2025 12:42 AM","11/14/2025 12:42 AM"
"21","11/14/2025","447","24","11/14/2025 12:42 AM","11/14/2025 12:42 AM"
"34","11/28/2025","463","27","11/24/2025 1:27 AM","11/24/2025 1:27 AM"
