"Start Date","End Date","UseCases ID","UseCase Phase","Created"
"10/1/2025","12/31/2026","355","Idea","10/1/2025 10:34 AM"
"10/1/2025","10/20/2025","356","Idea","10/1/2025 1:18 PM"
"10/1/2025","10/4/2025","357","Idea","10/1/2025 1:52 PM"
"10/3/2025","10/6/2025","358","Idea","10/3/2025 12:30 AM"
"10/15/2025","10/13/2025","358","Diagnose","10/3/2025 12:58 AM"
"11/6/2025","11/30/2025","359","Idea","10/3/2025 1:17 AM"
"10/16/2025","10/22/2025","358","Diagnose","10/3/2025 1:31 AM"
"10/4/2025","10/31/2025","360","Idea","10/3/2025 1:50 AM"
"10/3/2025","10/6/2025","361","Idea","10/3/2025 5:16 AM"
"10/3/2025","10/6/2025","362","Idea","10/3/2025 5:28 AM"
"10/4/2025","10/31/2025","363","Idea","10/3/2025 5:34 AM"
"10/3/2025","10/13/2025","364","Idea","10/3/2025 6:10 AM"
"10/3/2025","10/5/2025","365","Idea","10/3/2025 6:18 AM"
"10/3/2025","10/31/2025","366","Idea","10/3/2025 6:46 AM"
"10/4/2025","10/5/2025","366","Diagnose","10/3/2025 6:49 AM"
"10/3/2025","10/31/2025","367","Idea","10/3/2025 6:58 AM"
"10/3/2025","10/31/2025","368","Idea","10/3/2025 7:26 AM"
"10/3/2025","11/3/2025","369","Idea","10/3/2025 10:03 AM"
"10/3/2025","10/6/2025","370","Idea","10/3/2025 12:10 PM"
"10/3/2025","10/7/2025","371","Idea","10/3/2025 1:07 PM"
"10/7/2025","10/31/2025","372","Idea","10/6/2025 1:17 AM"
"10/8/2025","10/14/2025","378","Idea","10/8/2025 1:56 AM"
"10/15/2025","10/22/2025","378","Diagnose","10/8/2025 1:58 AM"
"9/25/2025","10/25/2025","1","Idea","10/9/2025 1:40 AM"
"9/25/2025","10/25/2025","2","Idea","10/9/2025 1:40 AM"
"9/25/2025","10/25/2025","3","Idea","10/9/2025 1:40 AM"
"9/25/2025","10/25/2025","4","Idea","10/9/2025 1:41 AM"
"9/25/2025","10/25/2025","5","Idea","10/9/2025 1:41 AM"
"9/25/2025","10/25/2025","1","Idea","10/9/2025 1:45 AM"
"9/25/2025","10/25/2025","2","Idea","10/9/2025 1:45 AM"
"9/25/2025","10/25/2025","3","Idea","10/9/2025 1:45 AM"
"9/25/2025","10/25/2025","4","Idea","10/9/2025 1:45 AM"
"9/25/2025","10/25/2025","5","Idea","10/9/2025 1:45 AM"
"9/25/2025","10/25/2025","1","Idea","10/9/2025 4:34 AM"
"9/25/2025","10/25/2025","2","Idea","10/9/2025 4:34 AM"
"9/25/2025","10/25/2025","3","Idea","10/9/2025 4:34 AM"
"9/25/2025","10/25/2025","4","Idea","10/9/2025 4:34 AM"
"9/25/2025","10/25/2025","5","Idea","10/9/2025 4:34 AM"
"9/25/2025","10/25/2025","1","Idea","10/9/2025 4:39 AM"
"9/25/2025","10/25/2025","2","Idea","10/9/2025 4:39 AM"
"9/25/2025","10/25/2025","3","Idea","10/9/2025 4:39 AM"
"9/25/2025","10/25/2025","4","Idea","10/9/2025 4:39 AM"
"9/25/2025","10/25/2025","5","Idea","10/9/2025 4:39 AM"
"9/25/2025","10/25/2025","6","Idea","10/9/2025 4:39 AM"
"9/25/2025","10/25/2025","7","Idea","10/9/2025 4:39 AM"
"9/25/2025","10/25/2025","8","Idea","10/9/2025 4:39 AM"
"9/25/2025","10/25/2025","9","Idea","10/9/2025 4:39 AM"
"10/25/2025","11/24/2025","9","Diagnose","10/9/2025 4:39 AM"
"11/24/2025","12/24/2025","9","Design","10/9/2025 4:39 AM"
"12/24/2025","1/23/2026","9","Implemented","10/9/2025 4:39 AM"
"9/25/2025","10/25/2025","10","Idea","10/9/2025 4:39 AM"
"10/25/2025","11/24/2025","10","Diagnose","10/9/2025 4:39 AM"
"11/24/2025","12/24/2025","10","Design","10/9/2025 4:39 AM"
"12/24/2025","1/23/2026","10","Implemented","10/9/2025 4:39 AM"
"9/25/2025","10/25/2025","11","Idea","10/9/2025 4:39 AM"
"10/25/2025","11/24/2025","11","Diagnose","10/9/2025 4:39 AM"
"11/24/2025","12/24/2025","11","Design","10/9/2025 4:39 AM"
"12/24/2025","1/23/2026","11","Implemented","10/9/2025 4:39 AM"
"9/25/2025","10/25/2025","12","Idea","10/9/2025 4:39 AM"
"10/25/2025","11/24/2025","12","Diagnose","10/9/2025 4:39 AM"
"11/24/2025","12/24/2025","12","Design","10/9/2025 4:39 AM"
"12/24/2025","1/23/2026","12","Implemented","10/9/2025 4:40 AM"
"9/25/2025","10/25/2025","13","Idea","10/9/2025 4:40 AM"
"10/25/2025","11/24/2025","13","Diagnose","10/9/2025 4:40 AM"
"11/24/2025","12/24/2025","13","Design","10/9/2025 4:40 AM"
"12/24/2025","1/23/2026","13","Implemented","10/9/2025 4:40 AM"
"9/25/2025","10/25/2025","14","Idea","10/9/2025 4:40 AM"
"10/25/2025","11/24/2025","14","Diagnose","10/9/2025 4:40 AM"
"9/25/2025","10/25/2025","15","Idea","10/9/2025 4:40 AM"
"10/25/2025","11/24/2025","15","Diagnose","10/9/2025 4:40 AM"
"11/24/2025","12/24/2025","15","Design","10/9/2025 4:40 AM"
"12/24/2025","1/23/2026","15","Implemented","10/9/2025 4:40 AM"
"9/25/2025","10/25/2025","16","Idea","10/9/2025 4:40 AM"
"10/25/2025","11/24/2025","16","Diagnose","10/9/2025 4:40 AM"
"11/24/2025","12/24/2025","16","Design","10/9/2025 4:40 AM"
"9/25/2025","10/25/2025","17","Idea","10/9/2025 4:40 AM"
"10/25/2025","11/24/2025","17","Diagnose","10/9/2025 4:40 AM"
"11/24/2025","12/24/2025","17","Design","10/9/2025 4:40 AM"
"12/24/2025","1/23/2026","17","Implemented","10/9/2025 4:40 AM"
"9/25/2025","10/25/2025","18","Idea","10/9/2025 4:40 AM"
"10/25/2025","11/24/2025","18","Diagnose","10/9/2025 4:40 AM"
