"Reach","Impact","Confidence","Effort","RICE Score","Priority","AI Gallery Display","SLT Reporting","Total User Base","Timespan","Reporting Frequency","UseCases ID"
"12","2","1","23","1.04347826086957","1","True","True","434","FY25Q04","Once in Two Weeks","359"
"23","1","1","34","1","2","True","True","45","FY26Q01","Weekly","360"
"8","3","1","5","4.8","3","True","False","3","FY25Q04","Weekly","358"
"12","2","0.8","23","1","2","True","True","34","FY25Q04","Weekly","367"
"23","3","1","34","2.02941176470588","1","True","True","45","FY25Q03",,"366"
"4","3","1","3","4","1","True","False","2","FY25Q03",,"386"
"1","1","0.8","80","1","1","False","False","20","FY26Q01",,"389"
"2,345","2","0.8","3,456","1.08564814814815","2","True","True","4,567","FY25Q04","Once in Two Weeks","392"
"77","3","0.8","99","1.8666667","3","True","True","88","FY26Q04","Once in Two Weeks","421"
"500","2","0.8","74","10.8108108","3","False","True","55","FY25Q03","Once in Two Weeks","422"
"500","1","1","50","10","4","True","True","88","FY27Q02",,"423"
"1,200","3","1","70","51.4285714285714","5","True","True","1,000","FY26Q02","Quarterly","427"
"10,000","3","0.8","99","242.424242424242","3","False","False","9,999","FY25Q04",,"428"
"100","2","0.8","40","4","1","False","False","50","FY26Q01",,"445"
"55","3","0.8","44","3","2","True","True","30","FY26Q03","Monthly","467"
